Title,Genre,Premiere,Seasons,Runtime,Status,Language
Bat Boy[461],Young adult horror comedy,Unknown,Unknown,Unknown,In development,English
Birthright[462],Drama,Unknown,Unknown,Unknown,In development,English
Calabasas[463],Teen drama,Unknown,Unknown,Unknown,In development,English
Cashero[464],Korean language superhero drama,Unknown,Unknown,Unknown,In development,English
Coming Undone[465],Drama,Unknown,Unknown,Unknown,In development,English
Death Note[466][467][468],Supernatural drama,Unknown,Unknown,Unknown,In development,English
Dumped[469],Comedy,Unknown,Unknown,Unknown,In development,English
East of Eden[470],Drama miniseries,Unknown,Unknown,Unknown,In development,English
El cuco de cristal[471],Drama thriller,Unknown,Unknown,Unknown,In development,English
Fatherhood[472],Comedy drama,Unknown,Unknown,Unknown,In development,English
"Forever, Interrupted[473]",Drama miniseries,Unknown,Unknown,Unknown,In development,English
The Grays[474],Gothic,Unknown,Unknown,Unknown,In development,English
Happy Place[475],Romantic comedy,Unknown,Unknown,Unknown,In development,English
The Hated[476],Western,Unknown,Unknown,Unknown,In development,English
The Henna Artist[477],Drama,Unknown,Unknown,Unknown,In development,English
Last Samurai Standing[478],Japanese language drama,Unknown,Unknown,Unknown,In development,English
Little Sky[479],Comedy,Unknown,Unknown,Unknown,In development,English
Mind MGMT[480],Thriller,Unknown,Unknown,Unknown,In development,English
Minor Threats[481],Superhero,Unknown,Unknown,Unknown,In development,English
Nocterra[482],Science fiction,Unknown,Unknown,Unknown,In development,English
One Day in December[483],Romance drama,Unknown,Unknown,Unknown,In development,English
Our Love Is Here to Stay[484][485],Biopic/musical comedy,Unknown,Unknown,Unknown,In development,English
Princess of South Beach[486],Teen drama,Unknown,Unknown,Unknown,In development,English
Revenge Inc.[487],Drama,Unknown,Unknown,Unknown,In development,English
Something Is Killing the Children[488][489],Horror,Unknown,Unknown,Unknown,In development,English
Son of a Donkey[490],Comedy,Unknown,Unknown,Unknown,In development,English
Stronger[491],Drama,Unknown,Unknown,Unknown,In development,English
They'll Never Catch Us[492],Thriller,Unknown,Unknown,Unknown,In development,English
Untitled Charlie and the Chocolate Factory reality series[493],Reality competition,Unknown,Unknown,Unknown,In development,English
Untitled A Different World sequel series[494],Comedy,Unknown,Unknown,Unknown,In development,English
"Untitled ""Daddy Ball"" series[495]",Drama,Unknown,Unknown,Unknown,In development,English
Untitled Frank Sinatra biopic series[496],Biopic,Unknown,Unknown,Unknown,In development,English
Untitled Jeffrey Addiss and Will Matthews series[467],TBA,Unknown,Unknown,Unknown,In development,English
Untitled John F. Kennedy miniseries[497],Biopic miniseries,Unknown,Unknown,Unknown,In development,English
Untitled Julio Iglesias series[498],Biopic,Unknown,Unknown,Unknown,In development,English
Untitled Main Line murders series[499],Crime drama,Unknown,Unknown,Unknown,In development,English
Untitled Matt Rife series[500],Workplace comedy,Unknown,Unknown,Unknown,In development,English
Untitled Maya and the Three-related series[501],Animated fantasy miniseries,Unknown,Unknown,Unknown,In development,English
Untitled Minecraft series[502],Animated adventure,Unknown,Unknown,Unknown,In development,English
Untitled Myron Bolitar series[503],Mystery drama,Unknown,Unknown,Unknown,In development,English
Untitled One Tree Hill sequel series[504],Teen drama,Unknown,Unknown,Unknown,In development,English
Untitled Owen Hanson docuseries[505],True crime docuseries,Unknown,Unknown,Unknown,In development,English
Untitled Prince Harry and Meghan Markle scripted series[436],Drama,Unknown,Unknown,Unknown,In development,English
Untitled Regina Hicks project[506][507],Comedy,Unknown,Unknown,Unknown,In development,English
Untitled Scooby-Doo series[508],Teen mystery,Unknown,Unknown,Unknown,In development,English
Untitled Simon Riske series[509],Spy thriller,Unknown,Unknown,Unknown,In development,English
Untitled spiritual procedural series[510],Crime procedural/Supernatural,Unknown,Unknown,Unknown,In development,English
Untitled Stranger Things spin-off series[467][511],Science fiction drama,Unknown,Unknown,Unknown,In development,English
Untitled U2 biopic series[512],Biopic,Unknown,Unknown,Unknown,In development,English
Untitled Virgin River prequel[513],Romantic drama,Unknown,Unknown,Unknown,In development,English
Yasuke[514],Period drama,Unknown,Unknown,Unknown,In development,English
